DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
121;B;46,19;4,95;51,14;NOR ORIENTE;140;146;2837;0;1;;;
122;A;50,91;9,61;60,52;NOR PONIENTE;168;150;3379;0;1;;;
123;C;29,84;7,63;37,47;PONIENTE;46;180;2194;0;1;;;
124;A;50,91;9,61;60,52;PONIENTE;166;131;3323;0;1;;;
125;B1;46,19;5,05;51,24;ORIENTE;146;136;2781;0;1;;;
126;B;46,19;4,95;51,14;NOR ORIENTE;195;200;2862;0;1;;;
127;A;50,91;9,61;60,52;NOR PONIENTE;201;210;3390;0;1;;;
128;C;29,84;7,63;37,47;PONIENTE;150;184;2216;0;1;;;
129;A;50,91;9,61;60,52;PONIENTE;198;192;3334;0;1;;;
130;B1;46,19;5,05;51,24;ORIENTE;192;222;2885;0;1;;;
221;B;46,37;4,95;51,32;NOR ORIENTE;139;155;2850;0;2;;;
222;A;50,91;9,61;60,52;NOR PONIENTE;177;160;3392;0;2;;;
223;C;29,84;7,63;37,47;PONIENTE;47;122;2196;0;2;;;
224;A;50,91;9,61;60,52;PONIENTE;167;153;3336;0;2;;;
225;B1;46,19;5,05;51,24;ORIENTE;145;135;2794;0;2;;;
226;B;46,37;4,95;51,32;NOR ORIENTE;196;218;2877;0;2;;;
227;A;50,91;9,61;60,52;NOR PONIENTE;180;203;3405;0;2;;;
228;C;29,84;7,63;37,47;PONIENTE;149;183;2219;0;2;;;
229;A;50,91;9,61;60,52;PONIENTE;199;191;3348;0;2;;;
230;B1;46,19;5,05;51,24;ORIENTE;193;201;2982;0;2;;;
321;B;46,37;4,95;51,32;NOR ORIENTE;138;147;2864;0;3;;;
322;A;50,91;9,61;60,52;NOR PONIENTE;173;125;3406;0;3;;;
323;C;29,84;7,63;37,47;PONIENTE;132;168;2210;0;3;;;
324;A;50,91;9,61;60,52;PONIENTE;169;143;3349;0;3;;;
325;B1;46,19;5,05;51,24;ORIENTE;144;141;2808;0;3;;;
326;B;46,37;4,95;51,32;NOR ORIENTE;197;217;2890;0;3;;;
327;A;50,91;9,61;60,52;NOR PONIENTE;202;186;3418;0;3;;;
328;C;29,84;7,63;37,47;PONIENTE;148;185;2232;0;3;;;
329;A;50,91;9,61;60,52;PONIENTE;200;220;3362;0;3;;;
330;B1;46,19;5,05;51,24;ORIENTE;194;225;2993;0;3;;;
421;B;46,37;4,95;51,32;NOR ORIENTE;137;172;2878;0;4;;;
422;A;50,91;9,61;60,52;NOR PONIENTE;174;151;3420;0;4;;;
423;C;29,84;7,63;37,47;PONIENTE;133;134;2224;0;4;;;
424;A;50,91;9,61;60,52;PONIENTE;170;128;3364;0;4;;;
425;B1;46,19;5,05;51,24;ORIENTE;143;126;2821;0;4;;;
426;B;46,37;4,95;51,32;NOR ORIENTE;186;207;2903;0;4;;;
427;A;50,91;9,61;60,52;NOR PONIENTE;179;242;3431;0;4;;;
428;C;29,84;7,63;37,47;PONIENTE;147;229;2247;0;4;;;
429;A;50,91;9,61;60,52;PONIENTE;183;189;3375;0;4;;;
430;B1;46,19;5,05;51,24;ORIENTE;189;199;3005;0;4;;;
521;B;46,37;4,95;51,32;NOR ORIENTE;136;171;2891;0;5;;;
522;A;50,91;9,61;60,52;NOR PONIENTE;175;129;3433;0;5;;;
523;C;29,84;7,63;37,47;PONIENTE;134;166;2242;0;5;;;
524;A;50,91;9,61;60,52;PONIENTE;171;127;3377;0;5;;;
525;B1;46,19;5,05;51,24;ORIENTE;142;140;2835;0;5;;;
526;B;46,37;4,95;51,32;NOR ORIENTE;185;216;2917;0;5;;;
527;A;50,91;9,61;60,52;NOR PONIENTE;203;190;3444;0;5;;;
528;C;29,84;7,63;37,47;PONIENTE;191;228;2257;0;5;;;
529;A;50,91;9,61;60,52;PONIENTE;182;209;3388;0;5;;;
530;B1;46,19;5,05;51,24;ORIENTE;188;213;3016;0;5;;;
621;B;46,37;4,95;51,32;NOR ORIENTE;165;170;2904;0;6;;;
622;A;50,91;9,61;60,52;NOR PONIENTE;176;144;3446;0;6;;;
623;C;29,84;7,63;37,47;PONIENTE;135;137;2262;0;6;;;
624;A;50,91;9,61;60,52;PONIENTE;172;142;3390;0;6;;;
625;B1;46,19;5,05;51,24;ORIENTE;141;138;2871;0;6;;;
626;B;46,37;4,95;51,32;NOR ORIENTE;184;230;2930;0;6;;;
627;A;50,91;9,61;60,52;NOR PONIENTE;178;205;3458;0;6;;;
628;C;29,84;7,63;37,47;PONIENTE;190;226;2275;0;6;;;
629;A;50,91;9,61;60,52;PONIENTE;181;238;3401;0;6;;;
630;B1;46,19;5,05;51,24;ORIENTE;187;224;3027;0;6;;;
