DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
113;ESTUDIO;51.1;3.53;54.63;SUR;215;224;2316;0;1;;;
114;ESTUDIO;51.1;3.53;54.63;SUR;225;225;2316;0;1;;;
115;ESTUDIO;51.1;3.53;54.63;NORTE;224;165;2343;0;1;;;
116;ESTUDIO;51.1;3.53;54.63;NORTE;214;211;2343;0;1;;;
213;A;51.64;3.42;55.06;NORTE;47;192;2687;0;2;;;
214;A;51.64;3.42;55.06;NORTE;46;193;2687;0;2;;;
215;B;59.71;4.54;64.25;ORIENTE;203;187;3239;0;2;;;
216;ESTUDIO;51.1;3.53;54.63;SUR;213;221;2404;0;2;;;
217;ESTUDIO;51.1;3.53;54.63;SUR;212;164;2404;0;2;;;
218;ESTUDIO;51.1;3.53;54.63;SUR;211;146;2404;0;2;;;
219;ESTUDIO;51.1;3.53;54.63;SUR;210;222;2404;0;2;;;
220;ESTUDIO;51.1;3.53;54.63;SUR;195;223;2404;0;2;;;
221;B;59.71;4.54;64.25;PONIENTE;100;194;3394;0;2;;;
222;B;59.71;4.54;64.25;NORTE;202;153;3353;0;2;;;
223;A;51.64;3.42;55.06;NORTE;45;166;2687;0;2;;;
224;A;51.64;3.42;55.06;NORTE;44;167;2687;0;2;;;
313;A;51.64;3.42;55.06;NORTE;51;188;2697;0;3;;;
314;A;51.64;3.42;55.06;NORTE;50;189;2697;0;3;;;
315;B;59.71;4.54;64.25;ORIENTE;99;209;3297;0;3;;;
316;ESTUDIO;51.1;3.53;54.63;SUR;194;128;2413;0;3;;;
317;ESTUDIO;51.1;3.53;54.63;SUR;193;129;2413;0;3;;;
318;ESTUDIO;51.1;3.53;54.63;SUR;192;130;2413;0;3;;;
319;ESTUDIO;51.1;3.53;54.63;SUR;191;220;2413;0;3;;;
320;ESTUDIO;51.1;3.53;54.63;SUR;33;219;2413;0;3;;;
321;B;59.71;4.54;64.25;PONIENTE;97;169;3452;0;3;;;
322;B;59.71;4.54;64.25;NORTE;98;176;3410;0;3;;;
323;A;51.64;3.42;55.06;NORTE;49;190;2697;0;3;;;
324;A;51.64;3.42;55.06;NORTE;48;191;2697;0;3;;;
413;A;51.64;3.42;55.06;NORTE;55;149;2708;0;4;;;
414;A;51.64;3.42;55.06;NORTE;54;213;2708;0;4;;;
415;B;59.71;4.54;64.25;ORIENTE;96;132;3292;0;4;;;
416;ESTUDIO;51.1;3.53;54.63;SUR;32;123;2423;0;4;;;
417;ESTUDIO;51.1;3.53;54.63;SUR;31;124;2423;0;4;;;
418;ESTUDIO;51.1;3.53;54.63;SUR;30;125;2423;0;4;;;
419;ESTUDIO;51.1;3.53;54.63;SUR;223;126;2423;0;4;;;
420;ESTUDIO;51.1;3.53;54.63;SUR;222;127;2423;0;4;;;
421;B;59.71;4.54;64.25;PONIENTE;130;186;3448;0;4;;;
422;B;59.71;4.54;64.25;NORTE;129;131;3405;0;4;;;
423;A;51.64;3.42;55.06;NORTE;53;218;2708;0;4;;;
424;A;51.64;3.42;55.06;NORTE;52;155;2708;0;4;;;
513;A;51.64;3.42;55.06;NORTE;59;205;2718;0;5;;;
514;A;51.64;3.42;55.06;NORTE;58;181;2718;0;5;;;
515;B;59.71;4.54;64.25;ORIENTE;131;198;3332;0;5;;;
