DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
113;ESTUDIO;51.1;3.53;54.63;SUR;215;224;2316;0;1;0,844501617;04535-00114;04535-00449
114;ESTUDIO;51.1;3.53;54.63;SUR;225;225;2316;0;1;0,858416876;04535-00115;04535-00450
115;ESTUDIO;51.1;3.53;54.63;NORTE;224;165;2343;0;1;0,838471672;04535-00116;04535-00390
116;ESTUDIO;51.1;3.53;54.63;NORTE;214;211;2343;0;1;0,840790881;04535-00117;04535-00436
213;A;51.64;3.42;55.06;NORTE;47;192;2687;0;2;0,862591454;04535-00118;04535-00417
214;A;51.64;3.42;55.06;NORTE;46;193;2687;0;2;0,8608907;04535-00119;04535-00418
215;B;59.71;4.54;64.25;ORIENTE;203;187;3239;0;2;1,001280204;04535-00120;04535-00412
216;ESTUDIO;51.1;3.53;54.63;SUR;213;221;2404;0;2;0,840481654;04535-00121;04535-00446
217;ESTUDIO;51.1;3.53;54.63;SUR;212;164;2404;0;2;0,841254723;04535-00122;04535-00389
218;ESTUDIO;51.1;3.53;54.63;SUR;211;146;2404;0;2;0,855943053;04535-00123;04535-00371
219;ESTUDIO;51.1;3.53;54.63;SUR;210;222;2404;0;2;0,855015369;04535-00124;04535-00447
220;ESTUDIO;51.1;3.53;54.63;SUR;195;223;2404;0;2;0,839863198;04535-00125;04535-00448
221;B;59.71;4.54;64.25;PONIENTE;100;194;3394;0;2;1,013958551;04535-00126;04535-00419
222;B;59.71;4.54;64.25;NORTE;202;153;3353;0;2;0,978861175;04535-00127;04535-00378
223;A;51.64;3.42;55.06;NORTE;45;166;2687;0;2;0,860272244;04535-00128;04535-00391
224;A;51.64;3.42;55.06;NORTE;44;167;2687;0;2;0,86243684;04535-00129;04535-00392
313;A;51.64;3.42;55.06;NORTE;51;188;2697;0;3;0,862591454;04535-00130;04535-00413
314;A;51.64;3.42;55.06;NORTE;50;189;2697;0;3;0,8608907;04535-00131;04535-00414
315;B;59.71;4.54;64.25;ORIENTE;99;209;3297;0;3;1,004527098;04535-00132;04535-00434
316;ESTUDIO;51.1;3.53;54.63;SUR;194;128;2413;0;3;0,840945495;04535-00133;04535-00353
317;ESTUDIO;51.1;3.53;54.63;SUR;193;129;2413;0;3;0,844501617;04535-00134;04535-00354
318;ESTUDIO;51.1;3.53;54.63;SUR;192;130;2413;0;3;0,859963016;04535-00135;04535-00355
319;ESTUDIO;51.1;3.53;54.63;SUR;191;220;2413;0;3;0,855324597;04535-00136;04535-00445
320;ESTUDIO;51.1;3.53;54.63;SUR;33;219;2413;0;3;0,848212353;04535-00137;04535-00444
321;B;59.71;4.54;64.25;PONIENTE;97;169;3452;0;3;1,017360059;04535-00138;04535-00394
322;B;59.71;4.54;64.25;NORTE;98;176;3410;0;3;0,982262683;04535-00139;04535-00401
323;A;51.64;3.42;55.06;NORTE;49;190;2697;0;3;0,8608907;04535-00140;04535-00415
324;A;51.64;3.42;55.06;NORTE;48;191;2697;0;3;0,868930628;04535-00141;04535-00416
413;A;51.64;3.42;55.06;NORTE;55;149;2708;0;4;0,863364524;04535-00142;04535-00374
414;A;51.64;3.42;55.06;NORTE;54;213;2708;0;4;0,850222335;04535-00143;04535-00438
415;B;59.71;4.54;64.25;ORIENTE;96;132;3292;0;4;1,007000921;04535-00144;04535-00357
416;ESTUDIO;51.1;3.53;54.63;SUR;32;123;2423;0;4;0,840945495;04535-00145;04535-00348
417;ESTUDIO;51.1;3.53;54.63;SUR;31;124;2423;0;4;0,844501617;04535-00146;04535-00349
418;ESTUDIO;51.1;3.53;54.63;SUR;30;125;2423;0;4;0,859963016;04535-00147;04535-00350
419;ESTUDIO;51.1;3.53;54.63;SUR;223;126;2423;0;4;0,857953034;04535-00148;04535-00351
420;ESTUDIO;51.1;3.53;54.63;SUR;222;127;2423;0;4;0,844965459;04535-00149;04535-00352
421;B;59.71;4.54;64.25;PONIENTE;130;186;3448;0;4;1,019524655;04535-00150;04535-00411
422;B;59.71;4.54;64.25;NORTE;129;131;3405;0;4;0,984272665;04535-00151;04535-00356
423;A;51.64;3.42;55.06;NORTE;53;218;2708;0;4;0,865838348;04535-00152;04535-00443
424;A;51.64;3.42;55.06;NORTE;52;155;2708;0;4;0,869239856;04535-00153;04535-00380
513;A;51.64;3.42;55.06;NORTE;59;205;2718;0;5;0,864601436;04535-00154;04535-00430
514;A;51.64;3.42;55.06;NORTE;58;181;2718;0;5;0,86243684;04535-00155;04535-00406
515;B;59.71;4.54;64.25;ORIENTE;131;198;3332;0;5;1,008701675;04535-00156;04535-00423
516;ESTUDIO;51.1;3.53;54.63;SUR;221;118;2432;0;5;0,840945495;04535-00157;04535-00343
517;ESTUDIO;51.1;3.53;54.63;SUR;220;119;2432;0;5;0,844501617;04535-00158;04535-00344
518;ESTUDIO;51.1;3.53;54.63;SUR;219;120;2432;0;5;0,859963016;04535-00159;04535-00345
