DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
101;A;51.13;4.15;55.28;NOR ORIENTE;4;101;2.565;1.8;1;;;
102;A;51.07;4.02;55.09;NOR ORIENTE;3;100;2.565;1.8;1;;;
103;A;50.98;4.02;55;NOR ORIENTE;2;99;2.565;1.8;1;;;
104;A;50.98;4.08;55.06;NOR ORIENTE;1;11;2.565;1.8;1;;;
201;A;50.93;4.02;54.95;SUR PONIENTE;89;104;2.632;1.86;2;;;
202;A;50.62;4.02;54.64;SUR PONIENTE;88;103;2.632;1.86;2;;;
204;A;50.81;4.79;55.6;NOR ORIENTE;87;112;2.647;1.86;2;;;
205;A;50.97;4.02;54.99;NOR ORIENTE;86;111;2.647;1.86;2;;;
206;A;50.72;4.02;54.74;NOR ORIENTE;85;110;2.647;1.86;2;;;
207;A;50.62;4.12;54.74;NOR ORIENTE;8;109;2.647;1.86;2;;;
208;A;50.64;4.02;54.66;NOR ORIENTE;7;106;2.647;1.86;2;;;
211;A;50.62;4.79;55.41;SUR PONIENTE;6;105;2.632;1.86;2;;;
212;A;51.08;4.79;55.87;SUR PONIENTE;5;102;2.632;1.86;2;;;
203;B;59.67;4.12;63.79;SUR ORIENTE;197;44;3.191;2.25;2;;;
209;B;59.68;4.02;63.7;NOR PONIENTE;198;23;3.344;2.34;2;;;
210;B;58.74;4.06;62.8;SUR PONIENTE;196;13;3.293;2.31;2;;;
301;A;50.93;4.02;54.95;SUR PONIENTE;98;78;2.642;1.86;3;;;
302;A;50.62;4.02;54.64;SUR PONIENTE;97;77;2.642;1.86;3;;;
304;A;50.81;4.79;55.6;NOR ORIENTE;96;76;2.657;1.86;3;;;
305;A;50.97;4.02;54.99;NOR ORIENTE;95;75;2.657;1.86;3;;;
306;A;50.72;4.02;54.74;NOR ORIENTE;94;74;2.657;1.86;3;;;
307;A;50.62;4.12;54.74;NOR ORIENTE;93;73;2.657;1.86;3;;;
308;A;50.64;4.02;54.66;NOR ORIENTE;92;72;2.657;1.86;3;;;
311;A;50.62;4.79;55.41;SUR PONIENTE;91;108;2.642;1.86;3;;;
312;A;51.08;4.79;55.87;SUR PONIENTE;90;107;2.642;1.86;3;;;
303;B;59.67;4.12;63.79;SUR ORIENTE;200;14;3.248;2.28;3;;;
309;B;59.68;4.02;63.7;NOR PONIENTE;201;49;3.401;2.4;3;;;
310;B;58.74;4.06;62.8;SUR PONIENTE;199;26;3.350;2.37;3;;;
401;A;50.93;4.02;54.95;SUR PONIENTE;218;89;2.652;1.86;4;;;
402;A;50.62;4.02;54.64;SUR PONIENTE;219;88;2.652;1.86;4;;;
404;A;50.81;4.79;55.6;NOR ORIENTE;220;87;2.668;1.89;4;;;
405;A;50.97;4.02;54.99;NOR ORIENTE;221;86;2.668;1.89;4;;;
406;A;50.72;4.02;54.74;NOR ORIENTE;222;83;2.668;1.89;4;;;
407;A;50.62;4.12;54.74;NOR ORIENTE;102;82;2.668;1.89;4;;;
408;A;50.64;4.02;54.66;NOR ORIENTE;101;81;2.668;1.89;4;;;
411;A;50.62;4.79;55.41;SUR PONIENTE;100;80;2.652;1.86;4;;;
412;A;51.08;4.79;55.87;SUR PONIENTE;99;79;2.652;1.86;4;;;
403;B;59.67;4.12;63.79;SUR ORIENTE;153;25;3.243;2.28;4;;;
409;B;59.68;4.02;63.7;NOR PONIENTE;172;21;3.397;2.4;4;;;
410;B;58.74;4.06;62.8;SUR PONIENTE;202;48;3.345;2.34;4;;;
501;A;50.93;4.02;54.95;SUR PONIENTE;18;71;2.662;1.86;5;;;
502;A;50.62;4.02;54.64;SUR PONIENTE;19;97;2.662;1.86;5;;;
504;A;50.81;4.79;55.6;NOR ORIENTE;20;96;2.678;1.89;5;;;
505;A;50.97;4.02;54.99;NOR ORIENTE;21;95;2.678;1.89;5;;;
506;A;50.72;4.02;54.74;NOR ORIENTE;22;94;2.678;1.89;5;;;
507;A;50.62;4.12;54.74;NOR ORIENTE;23;93;2.678;1.89;5;;;
508;A;50.64;4.02;54.66;NOR ORIENTE;24;92;2.678;1.89;5;;;
511;A;50.62;4.79;55.41;SUR PONIENTE;216;91;2.662;1.86;5;;;
512;A;51.08;4.79;55.87;SUR PONIENTE;217;90;2.662;1.86;5;;;
503;B;59.67;4.12;63.79;SUR ORIENTE;171;46;3.283;2.31;5;;;
509;B;59.68;4.02;63.7;NOR PONIENTE;155;22;3.437;2.43;5;;;
510;B;58.74;4.06;62.8;SUR PONIENTE;154;40;3.386;2.37;5;;;
601;A;50.93;4.02;54.95;SUR PONIENTE;14;36;2.673;1.89;6;;;
602;A;50.62;4.02;54.64;SUR PONIENTE;15;35;2.673;1.89;6;;;
604;A;50.81;4.79;55.6;NOR ORIENTE;16;34;2.688;1.89;6;;;
605;A;50.97;4.02;54.99;NOR ORIENTE;17;57;2.688;1.89;6;1.2;;
606;A;50.72;4.02;54.74;NOR ORIENTE;211;9;2.688;1.89;6;;;
607;A;50.62;4.12;54.74;NOR ORIENTE;212;10;2.688;1.89;6;;;
608;A;50.64;4.02;54.66;NOR ORIENTE;213;98;2.688;1.89;6;;;
611;A;50.62;4.79;55.41;SUR PONIENTE;214;85;2.673;1.89;6;;;
612;A;51.08;4.79;55.87;SUR PONIENTE;215;84;2.673;1.89;6;;;
603;B;59.67;4.12;63.79;SUR ORIENTE;156;45;3.293;2.31;6;;;
609;B;59.68;4.02;63.7;NOR PONIENTE;169;61;3.447;2.43;6;;;
610;B;58.74;4.06;62.8;SUR PONIENTE;170;38;3.396;2.4;6;;;
701;A;50.93;4.02;54.95;SUR PONIENTE;207;50;2.683;1.89;7;;;
702;A;50.62;4.02;54.64;SUR PONIENTE;208;31;2.683;1.89;7;;;
704;A;50.81;4.79;55.6;NOR ORIENTE;209;30;2.698;1.89;7;;;
705;A;50.97;4.02;54.99;NOR ORIENTE;210;29;2.698;1.89;7;;;
706;A;50.72;4.02;54.74;NOR ORIENTE;9;18;2.698;1.89;7;;;
707;A;50.62;4.12;54.74;NOR ORIENTE;10;33;2.698;1.89;7;;;
708;A;50.64;4.02;54.66;NOR ORIENTE;11;67;2.698;1.89;7;;;
711;A;50.62;4.79;55.41;SUR PONIENTE;12;56;2.683;1.89;7;;;
712;A;51.08;4.79;55.87;SUR PONIENTE;13;37;2.683;1.89;7;;;
703;B;59.67;4.12;63.79;SUR ORIENTE;168;7;3.306;2.31;7;;;
709;B;59.68;4.02;63.7;NOR PONIENTE;158;4;3.460;2.43;7;;;
710;B;58.74;4.06;62.8;SUR PONIENTE;157;68;3.408;2.4;7;;;
801;A;50.93;4.02;54.95;SUR PONIENTE;115;43;2.693;1.89;8;;;
802;A;50.62;4.02;54.64;SUR PONIENTE;131;28;2.693;1.89;8;;;
804;A;50.81;4.79;55.6;NOR ORIENTE;114;24;2.708;1.89;8;;;
805;A;50.97;4.02;54.99;NOR ORIENTE;132;20;2.708;1.89;8;;;
806;A;50.72;4.02;54.74;NOR ORIENTE;113;16;2.708;1.89;8;;;
807;A;50.62;4.12;54.74;NOR ORIENTE;203;54;2.708;1.89;8;;;
808;A;50.64;4.02;54.66;NOR ORIENTE;204;27;2.708;1.89;8;;;
811;A;50.62;4.79;55.41;SUR PONIENTE;205;52;2.693;1.89;8;;;
812;A;51.08;4.79;55.87;SUR PONIENTE;206;51;2.693;1.89;8;;;
803;B;59.67;4.12;63.79;SUR ORIENTE;159;65;3.294;2.31;8;;;
809;B;59.68;4.02;63.7;NOR PONIENTE;166;64;3.448;2.43;8;;;
810;B;58.74;4.06;62.8;SUR PONIENTE;167;39;3.397;2.4;8;;;
901;A;50.93;4.02;54.95;SUR PONIENTE;126;6;2.703;1.89;9;;;
902;A;50.62;4.02;54.64;SUR PONIENTE;119;60;2.703;1.89;9;;;
904;A;50.81;4.79;55.6;NOR ORIENTE;127;59;2.719;1.92;9;;;
905;A;50.97;4.02;54.99;NOR ORIENTE;118;58;2.719;1.92;9;;;
906;A;50.72;4.02;54.74;NOR ORIENTE;128;55;2.719;1.92;9;;;
907;A;50.62;4.12;54.74;NOR ORIENTE;117;32;2.719;1.92;9;;;
908;A;50.64;4.02;54.66;NOR ORIENTE;129;41;2.719;1.92;9;;;
911;A;50.62;4.79;55.41;SUR PONIENTE;116;53;2.703;1.89;9;;;
912;A;51.08;4.79;55.87;SUR PONIENTE;130;47;2.703;1.89;9;;;
903;B;59.67;4.12;63.79;SUR ORIENTE;165;66;3.353;2.37;9;;;
909;B;59.68;4.02;63.7;NOR PONIENTE;161;12;3.507;2.46;9;;;
