DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
201;ESTUDIO;51.92;1.07;52.99;SUR;63;113;2696;0;2;;;
202;ESTUDIO;51.79;1.07;52.86;SUR;64;114;2696;0;2;;;
203;ESTUDIO;52.09;0;52.09;SUR;65;26;2696;0;2;;;
204;B;61.94;0;61.94;PONIENTE;94;32;3596;0;2;;;
205;B;59.84;0;59.84;NORTE;108;9;3442;0;2;;;
206;A;51.65;1.07;52.72;NORTE;18;88;2706;0;2;;;
207;A;51.79;1.07;52.86;NORTE;14;89;2706;0;2;;;
208;A;51.65;0;51.65;NORTE;15;90;2706;0;2;;;
209;A;51.65;1.07;52.72;NORTE;66;91;2706;0;2;;;
210;A;53.29;1.07;54.36;NORTE;54;112;2706;0;2;;;
211;ESTUDIO;53.29;1.07;54.36;SUR;86;16;2696;0;2;;;
212;ESTUDIO;51.65;1.07;52.72;SUR;12;17;2696;0;2;;;
213;ESTUDIO;51.65;0;51.65;SUR;13;18;2696;0;2;;;
301;A;51.92;1.07;52.99;SUR;11;111;2708;0;3;;;
302;A;51.79;1.07;52.86;SUR;5;65;2708;0;3;;;
303;A;52.09;0;52.09;SUR;6;66;2708;0;3;;;
304;B;61.94;0;61.94;PONIENTE;95;31;3621;0;3;;;
305;B;59.84;0;59.84;NORTE;87;104;3468;0;3;;;
306;A;51.65;1.07;52.72;NORTE;55;79;2718;0;3;;;
307;A;51.79;1.07;52.86;NORTE;56;98;2718;0;3;;;
308;A;51.65;0;51.65;NORTE;57;99;2718;0;3;;;
309;A;51.65;1.07;52.72;NORTE;61;102;2718;0;3;;;
310;A;53.29;1.07;54.36;NORTE;83;103;2718;0;3;;;
311;A;53.29;1.07;54.36;SUR;7;67;2708;0;3;;;
312;A;51.65;1.07;52.72;SUR;8;86;2708;0;3;;;
313;A;51.65;0;51.65;SUR;9;87;2708;0;3;;;
401;A;51.92;1.07;52.99;SUR;47;101;2720;0;4;;;
402;A;51.79;1.07;52.86;SUR;48;110;2720;0;4;;;
403;A;52.09;0;52.09;SUR;16;24;2720;0;4;;;
404;B;61.94;0;61.94;PONIENTE;96;29;3647;0;4;;;
405;B;59.84;0;59.84;NORTE;88;97;3494;0;4;;;
406;A;51.65;1.07;52.72;NORTE;73;109;2730;0;4;;;
407;A;51.79;1.07;52.86;NORTE;72;21;2730;0;4;;;
408;A;51.65;0;51.65;NORTE;52;76;2730;0;4;;;
409;A;51.65;1.07;52.72;NORTE;53;77;2730;0;4;;;
410;A;53.29;1.07;54.36;NORTE;74;100;2730;0;4;;;
411;A;53.29;1.07;54.36;SUR;17;74;2720;0;4;;;
412;A;51.65;1.07;52.72;SUR;46;75;2720;0;4;;;
413;A;51.65;0;51.65;SUR;10;78;2720;0;4;;;
501;A;51.92;1.07;52.99;SUR;22;33;2732;0;5;;;
502;A;51.79;1.07;52.86;SUR;23;34;2732;0;5;;;
503;A;52.09;0;52.09;SUR;24;12;2732;0;5;;;
504;B;61.94;0;61.94;PONIENTE;97;57;3673;0;5;;;
505;B;59.84;0;59.84;NORTE;89;80;3519;0;5;;;
506;A;51.65;1.07;52.72;NORTE;79;94;2743;0;5;;;
507;A;51.79;1.07;52.86;NORTE;80;95;2743;0;5;;;
508;A;51.65;0;51.65;NORTE;81;106;2743;0;5;;;
509;A;51.65;1.07;52.72;NORTE;82;107;2743;0;5;;;
510;A;53.29;1.07;54.36;NORTE;71;11;2743;0;5;;;
511;A;53.29;1.07;54.36;SUR;19;108;2732;0;5;;;
512;A;51.65;1.07;52.72;SUR;20;19;2732;0;5;;;
513;A;51.65;0;51.65;SUR;21;68;2732;0;5;;;
601;A;51.92;1.07;52.99;SUR;28;59;2745;0;6;;;
602;A;51.79;1.07;52.86;SUR;29;60;2745;0;6;;;
603;A;52.09;0;52.09;SUR;30;70;2745;0;6;;;
604;B;61.94;0;61.94;PONIENTE;98;52;3698;0;6;;;
605;B;59.84;0;59.84;NORTE;90;73;3545;0;6;;;
606;A;51.65;1.07;52.72;NORTE;78;6;2755;0;6;;;
607;A;51.79;1.07;52.86;NORTE;77;39;2755;0;6;;;
608;A;51.65;0;51.65;NORTE;76;40;2755;0;6;;;
609;A;51.65;1.07;52.72;NORTE;75;49;2755;0;6;;;
610;A;53.29;1.07;54.36;NORTE;84;50;2755;0;6;;;
611;A;53.29;1.07;54.36;SUR;25;71;2745;0;6;;;
612;A;51.65;1.07;52.72;SUR;26;82;2745;0;6;;;
613;A;51.65;0;51.65;SUR;27;83;2745;0;6;;;
701;A;51.92;1.07;52.99;SUR;36;58;2757;0;7;;;
702;A;51.79;1.07;52.86;SUR;35;72;2757;0;7;;;
703;A;52.09;0;52.09;SUR;34;81;2757;0;7;;;
704;B;61.94;0;61.94;PONIENTE;99;13;3724;0;7;;;
705;B;59.84;0;59.84;NORTE;91;36;3570;0;7;;;
706;A;51.65;1.07;52.72;NORTE;67;92;2767;0;7;;;
707;A;51.79;1.07;52.86;NORTE;68;7;2767;0;7;;;
708;A;51.65;0;51.65;NORTE;69;20;2767;0;7;;;
709;A;51.65;1.07;52.72;NORTE;70;38;2767;0;7;;;
710;A;53.29;1.07;54.36;NORTE;85;51;2767;0;7;;;
711;A;53.29;1.07;54.36;SUR;33;96;2757;0;7;;;
712;A;51.65;1.07;52.72;SUR;32;105;2757;0;7;;;
713;A;51.65;0;51.65;SUR;31;5;2757;0;7;;;
801;A;51.92;1.07;52.99;SUR;62;61;2769;0;8;;;
802;A;51.79;1.07;52.86;SUR;41;22;2769;0;8;;;
803;A;52.09;0;52.09;SUR;40;14;2769;0;8;;;
804;B;61.94;0;61.94;PONIENTE;100;8;3736;0;8;;;
805;B;59.84;0;59.84;NORTE;92;35;3583;0;8;;;
806;A;51.65;1.07;52.72;NORTE;109;63;2779;0;8;;;
807;A;51.79;1.07;52.86;NORTE;110;64;2779;0;8;;;
808;A;51.65;0;51.65;NORTE;111;4;2779;0;8;;;
809;A;51.65;1.07;52.72;NORTE;112;41;2779;0;8;;;
810;A;53.29;1.07;54.36;NORTE;102;48;2779;0;8;;;
811;A;53.29;1.07;54.36;SUR;39;15;2769;0;8;;;
812;A;51.65;1.07;52.72;SUR;38;69;2769;0;8;;;
813;A;51.65;0;51.65;SUR;37;85;2769;0;8;;;
901;A;51.92;1.07;52.99;SUR;44;43;2782;0;9;;;
902;A;51.79;1.07;52.86;SUR;43;44;2782;0;9;;;
903;A;52.09;0;52.09;SUR;42;45;2782;0;9;;;
904;B;61.94;0;61.94;PONIENTE;101;37;3748;0;9;;;
905;B;59.84;0;59.84;NORTE;93;30;3595;0;9;;;
906;A;51.65;1.07;52.72;NORTE;107;23;2792;0;9;;;
907;A;51.79;1.07;52.86;NORTE;106;1;2792;0;9;;;
908;A;51.65;0;51.65;NORTE;105;2;2792;0;9;;;
909;A;51.65;1.07;52.72;NORTE;104;3;2792;0;9;;;
910;A;53.29;1.07;54.36;NORTE;103;42;2792;0;9;;;
911;A;53.29;1.07;54.36;SUR;60;46;2782;0;9;;;
912;A;51.65;1.07;52.72;SUR;59;47;2782;0;9;;;
913;A;51.65;0;51.65;SUR;58;62;2782;0;9;;;
1001;A;51.92;0;51.92;SUR;45;56;2804;0;10;;;
1002;A;51.79;0;51.79;NORTE;116;10;2804;0;10;;;
1003;A;51.65;0;51.65;NORTE;115;53;2804;0;10;;;
1004;A;51.65;1.07;52.72;NORTE;114;54;2804;0;10;;;
1005;A;53.29;1.07;54.36;NORTE;113;55;2804;0;10;;;
1006;A;53.29;1.07;54.36;SUR;51;84;2794;0;10;;;
1007;A;51.65;1.07;52.72;SUR;50;93;2794;0;10;;;
1008;A;51.65;0;51.65;SUR;49;25;2794;0;10;;;
