DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
201;A;51.92;4.72;56.64;SUR;63;113;2838;0;2;;;
202;A;51.79;4.72;56.51;SUR;64;114;2838;0;2;;;
203;A;52.09;4.72;56.81;SUR;65;26;2838;0;2;;;
204;B;61.94;4.72;66.66;PONIENTE;94;32;3728;0;2;;;
205;B;59.84;5.02;64.86;NORTE;108;9;3575;0;2;;;
206;A;51.65;4.72;56.37;NORTE;18;88;2850;0;2;;;
207;A;51.79;4.72;56.51;NORTE;14;89;2850;0;2;;;
208;A;51.65;4.72;56.37;NORTE;15;90;2850;0;2;;;
209;A;51.65;4.72;56.37;NORTE;66;91;2850;0;2;;;
210;A;53.29;4.72;58.01;NORTE;54;112;2850;0;2;;;
301;A;51.92;4.72;56.64;SUR;11;111;2841;0;3;;;
302;A;51.79;4.72;56.51;SUR;5;65;2841;0;3;;;
303;A;52.09;4.72;56.81;SUR;6;66;2841;0;3;;;
304;B;61.94;4.72;66.66;PONIENTE;95;31;3754;0;3;;;
305;B;59.84;5.02;64.86;NORTE;87;104;3601;0;3;;;
306;A;51.65;4.72;56.37;NORTE;55;79;2851;0;3;;;
308;A;51.65;4.72;56.37;NORTE;57;99;2851;0;3;;;
309;A;51.65;4.72;56.37;NORTE;61;102;2851;0;3;;;
310;A;53.29;4.72;58.01;NORTE;83;103;2851;0;3;;;
401;A;51.92;4.72;56.64;SUR;47;101;2853;0;4;;;
402;A;51.79;4.72;56.51;SUR;48;110;2853;0;4;;;
403;A;52.09;4.72;56.81;SUR;16;24;2853;0;4;;;
404;B;61.94;4.72;66.66;PONIENTE;96;29;3780;0;4;;;
405;B;59.84;5.02;64.86;NORTE;88;97;3626;0;4;;;
410;A;53.29;4.72;58.01;NORTE;74;100;2863;0;4;;;
411;A;53.29;4.72;58.01;SUR;17;74;2853;0;4;;;
412;A;51.65;4.72;56.37;SUR;46;75;2853;0;4;;;
413;A;51.65;4.72;56.37;SUR;10;78;2853;0;4;;;
501;A;51.92;4.72;56.64;SUR;22;33;2865;0;5;;;
502;A;51.79;4.72;56.51;SUR;23;34;2865;0;5;;;
504;B;61.94;4.72;66.66;PONIENTE;97;57;3805;0;5;;;
505;B;59.84;5.02;64.86;NORTE;89;80;3652;0;5;;;
510;A;53.29;4.72;58.01;NORTE;71;11;2875;0;5;;;
511;A;53.29;4.72;58.01;SUR;19;108;2865;0;5;;;
512;A;51.65;4.72;56.37;SUR;20;19;2865;0;5;;;
513;A;51.65;4.72;56.37;SUR;21;68;2865;0;5;;;
601;A;51.92;4.72;56.64;SUR;28;59;2877;0;6;;;
602;A;51.79;4.72;56.51;SUR;29;60;2877;0;6;;;
603;A;52.09;4.72;56.81;SUR;30;70;2877;0;6;;;
604;B;61.94;4.72;66.66;PONIENTE;98;52;3831;0;6;;;
606;A;51.65;4.72;56.37;NORTE;78;6;2888;0;6;;;
610;A;53.29;4.72;58.01;NORTE;84;50;2888;0;6;;;
611;A;53.29;4.72;58.01;SUR;25;71;2877;0;6;;;
612;A;51.65;4.72;56.37;SUR;26;82;2877;0;6;;;
613;A;51.65;4.72;56.37;SUR;27;83;2877;0;6;;;
701;A;51.92;4.72;56.64;SUR;36;58;2890;0;7;;;
703;A;52.09;4.72;56.81;SUR;34;81;2890;0;7;;;
705;B;59.84;5.02;64.86;NORTE;91;36;3703;0;7;;;
706;A;51.65;4.72;56.37;NORTE;67;92;2900;0;7;;;
707;A;51.79;4.72;56.51;NORTE;68;7;2900;0;7;;;
710;A;53.29;4.72;58.01;NORTE;85;51;2900;0;7;;;
711;A;53.29;4.72;58.01;SUR;33;96;2890;0;7;;;
712;A;51.65;4.72;56.37;SUR;32;105;2890;0;7;;;
713;A;51.65;4.72;56.37;SUR;31;5;2890;0;7;;;
801;A;51.92;4.72;56.64;SUR;62;61;2902;0;8;;;
805;B;59.84;5.02;64.86;NORTE;92;35;3715;0;8;;;
806;A;51.65;4.72;56.37;NORTE;109;63;2912;0;8;;;
807;A;51.79;4.72;56.51;NORTE;110;64;2912;0;8;;;
811;A;53.29;4.72;58.01;SUR;39;15;2902;0;8;;;
812;A;51.65;4.72;56.37;SUR;38;69;2902;0;8;;;
813;A;51.65;4.72;56.37;SUR;37;85;2902;0;8;;;
901;A;51.92;4.72;56.64;SUR;44;43;2914;0;9;;;
905;B;59.84;5.02;64.86;NORTE;93;30;3727;0;9;;;
906;A;51.65;4.72;56.37;NORTE;107;23;2924;0;9;;;
907;A;51.79;4.72;56.51;NORTE;106;1;2924;0;9;;;
909;A;51.65;4.72;56.37;NORTE;104;3;2924;0;9;;;
910;A;53.29;4.72;58.01;NORTE;103;42;2924;0;9;;;
911;A;53.29;4.72;58.01;SUR;60;46;2914;0;9;;;
912;A;51.65;4.72;56.37;SUR;59;47;2914;0;9;;;
913;A;51.65;4.72;56.37;SUR;58;62;2914;0;9;;;
1001;A;51.92;4.72;56.64;SUR;45;56;2937;0;10;;;
1004;A;51.65;4.72;56.37;NORTE;114;54;2937;0;10;;;
1005;A;53.29;4.72;58.01;NORTE;113;55;2937;0;10;;;
1006;A;53.29;4.72;58.01;SUR;51;84;2926;0;10;;;
1007;A;51.65;4.72;56.37;SUR;50;93;2926;0;10;;;
1008;A;51.65;4.72;56.37;SUR;49;25;2926;0;10;;;
