DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
101;A;;;;;4;101;;;1;;04535-00002;04535-00326
102;A;;;;;3;100;;;1;;04535-00003;04535-00325
103;A;;;;;2;99;;;1;;04535-00004;04535-00324
104;A;;;;;25;11;;;1;;04535-00005;04535-00236
201;A;;;;;89;104;;;2;;04535-00006;04535-00329
202;A;;;;;88;103;;;2;;04535-00007;04535-00328
203;B;;;;;197;44;;;2;;04535-00008;04535-00269
204;A;;;;;110;112;;;2;;04535-00009;04535-00337
205;A;;;;;111;111;;;2;;04535-00010;04535-00336
206;A;;;;;112;110;;;2;;04535-00011;04535-00335
207;A;;;;;8;109;;;2;;04535-00012;04535-00334
208;A;;;;;7;106;;;2;;04535-00013;04535-00331
209;B;;;;;198;23;;;2;;04535-00014;04535-00248
210;B;;;;;196;13;;;2;;04535-00015;04535-00238
211;A;;;;;6;105;;;2;;04535-00016;04535-00330
212;A;;;;;5;102;;;2;;04535-00017;04535-00327
301;A;;;;;107;78;;;3;;04535-00018;04535-00303
302;A;;;;;108;77;;;3;;04535-00019;04535-00302
303;B;;;;;200;14;;;3;;04535-00020;04535-00239
304;A;;;;;109;76;;;3;;04535-00021;04535-00301
305;A;;;;;95;75;;;3;;04535-00022;04535-00300
306;A;;;;;94;74;;;3;;04535-00023;04535-00299
307;A;;;;;93;73;;;3;;04535-00024;04535-00298
308;A;;;;;92;72;;;3;;04535-00025;04535-00297
309;B;;;;;201;49;;;3;;04535-00026;04535-00274
310;B;;;;;199;26;;;3;;04535-00027;04535-00251
311;A;;;;;91;108;;;3;;04535-00028;04535-00333
312;A;;;;;90;107;;;3;;04535-00029;04535-00332
401;A;;;;;150;89;;;4;;04535-00030;04535-00314
402;A;;;;;151;88;;;4;;04535-00031;04535-00313
403;B;;;;;153;25;;;4;;04535-00032;04535-00250
404;A;;;;;152;87;;;4;;04535-00033;04535-00312
405;A;;;;;177;86;;;4;;04535-00034;04535-00311
406;A;;;;;178;83;;;4;;04535-00035;04535-00308
407;A;;;;;102;82;;;4;;04535-00036;04535-00307
408;A;;;;;101;81;;;4;;04535-00037;04535-00306
409;B;;;;;146;21;;;4;;04535-00038;04535-00246
410;B;;;;;182;48;;;4;;04535-00039;04535-00273
411;A;;;;;103;80;;;4;;04535-00040;04535-00305
412;A;;;;;106;79;;;4;;04535-00041;04535-00304
501;A;;;;;18;71;;;5;;04535-00042;04535-00296
502;A;;;;;19;97;;;5;;04535-00043;04535-00322
503;B;;;;;141;46;;;5;;04535-00044;04535-00271
504;A;;;;;20;96;;;5;;04535-00045;04535-00321
505;A;;;;;21;95;;;5;;04535-00046;04535-00320
506;A;;;;;22;94;;;5;;04535-00047;04535-00319
507;A;;;;;23;93;;;5;;04535-00048;04535-00318
508;A;;;;;24;92;;;5;;04535-00049;04535-00317
509;B;;;;;155;22;;;5;;04535-00050;04535-00247
510;B;;;;;154;40;;;5;;04535-00051;04535-00265
511;A;;;;;179;91;;;5;;04535-00052;04535-00316
512;A;;;;;180;90;;;5;;04535-00053;04535-00315
601;A;;;;;14;36;;;6;;04535-00054;04535-00261
602;A;;;;;15;35;;;6;;04535-00055;04535-00260
603;B;;;;;156;45;;;6;;04535-00056;04535-00270
604;A;;;;;16;34;;;6;;04535-00057;04535-00259
605;A;;;;;17;57;;;6;;04535-00058;04535-00282
606;A;;;;;187;9;;;6;;04535-00059;04535-00234
607;A;;;;;186;10;;;6;;04535-00060;04535-00235
608;A;;;;;185;98;;;6;;04535-00061;04535-00323
609;B;;;;;143;61;;;6;;04535-00062;04535-00286
610;B;;;;;142;38;;;6;;04535-00063;04535-00263
611;A;;;;;184;85;;;6;;04535-00064;04535-00310
612;A;;;;;183;84;;;6;;04535-00065;04535-00309
701;A;;;;;29;50;;;7;;04535-00066;04535-00275
702;A;;;;;190;31;;;7;;04535-00067;04535-00256
703;B;;;;;144;7;;;7;;04535-00068;04535-00232
704;A;;;;;189;30;;;7;;04535-00069;04535-00255
705;A;;;;;188;29;;;7;;04535-00070;04535-00254
706;A;;;;;9;18;;;7;;04535-00071;04535-00243
707;A;;;;;10;33;;;7;;04535-00072;04535-00258
708;A;;;;;11;67;;;7;;04535-00073;04535-00292
709;B;;;;;158;4;;;7;;04535-00074;04535-00229
710;B;;;;;157;68;;;7;;04535-00075;04535-00293
711;A;;;;;12;56;;;7;;04535-00076;04535-00281
712;A;;;;;13;37;;;7;;04535-00077;04535-00262
801;A;;;;;115;43;;;8;;04535-00078;04535-00268
802;A;;;;;105;28;;;8;;04535-00079;04535-00253
803;B;;;;;159;65;;;8;;04535-00080;04535-00290
804;A;;;;;114;24;;;8;;04535-00081;04535-00249
805;A;;;;;104;20;;;8;;04535-00082;04535-00245
806;A;;;;;113;16;;;8;;04535-00083;04535-00241
807;A;;;;;181;54;;;8;;04535-00084;04535-00279
808;A;;;;;125;27;;;8;;04535-00085;04535-00252
809;B;;;;;166;64;;;8;;04535-00086;04535-00289
810;B;;;;;145;39;;;8;;04535-00087;04535-00264
811;A;;;;;27;52;;;8;;04535-00088;04535-00277
812;A;;;;;26;51;;;8;;04535-00089;04535-00276
901;A;;;;;126;6;;;9;;04535-00090;04535-00231
