DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
101;A;;;;;4;101;2565;;1;0,848714123;04535-00002;04535-00326
102;A;;;;;3;100;2637;;1;0,849948392;04535-00003;04535-00325
103;A;;;;;2;99;2637;;1;0,863371066;04535-00004;04535-00324
104;A;;;;;25;11;2565;;1;0,856582587;04535-00005;04535-00236
201;A;;;;;89;104;2705;;2;0,858125423;04535-00006;04535-00329
202;A;;;;;88;69;2705;;2;0,849639825;04535-00007;04535-00294
203;B;;;;;197;44;3191;;2;0,998986357;04535-00008;04535-00269
204;A;;;;;110;112;2721;;2;0,83914854;04535-00009;04535-00337
205;A;;;;;111;111;2721;;2;0,842697063;04535-00010;04535-00336
206;A;;;;;112;110;2721;;2;0,858125423;04535-00011;04535-00335
207;A;;;;;8;109;2721;;2;0,856119736;04535-00012;04535-00334
208;A;;;;;7;106;2647;;2;0,843159913;04535-00013;04535-00331
209;B;;;;;198;23;3344;;2;1,006546253;04535-00014;04535-00248
210;B;;;;;196;70;3293;;2;0,965043963;04535-00015;04535-00295
211;A;;;;;6;105;2632;;2;0,856428304;04535-00016;04535-00330
212;A;;;;;5;55;2705;;2;0,859513976;04535-00017;04535-00280
301;A;;;;;107;49;2715;;3;0,860748245;04535-00018;04535-00274
302;A;;;;;108;14;2715;;3;0,875559471;04535-00019;04535-00239
303;B;;;;;200;77;3248;;3;1,007471955;04535-00020;04535-00302
304;A;;;;;109;61;2657;;3;0,845319884;04535-00021;04535-00286
305;A;;;;;95;75;2657;;3;0,851645512;04535-00022;04535-00300
306;A;;;;;94;26;2731;;3;0,864296768;04535-00023;04535-00251
307;A;;;;;93;73;2731;;3;0,873862351;04535-00024;04535-00298
308;A;;;;;92;72;2657;;3;0,8451656;04535-00025;04535-00297
309;B;;;;;201;78;3401;;3;1,021974614;04535-00026;04535-00303
310;B;;;;;199;74;3350;;3;0,997443521;04535-00027;04535-00299
311;A;;;;;91;108;2642;;3;0,856428304;04535-00028;04535-00333
312;A;;;;;90;107;2715;;3;0,864451051;04535-00029;04535-00332
