DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
101;B1;46,19;4,95;51,14;ORIENTE;10;18;3.015;0;1;;;
102;A;50,91;9,61;60,52;NOR PONIENTE;71;11;3.420;0;1;;;
103;C;29,84;7,63;37,47;PONIENTE;31;58;2.224;0;1;;;
104;A;50,91;9,61;60,52;PONIENTE;70;10;3.364;0;1;;;
105;B1;46,19;5,05;51,24;ORIENTE;11;36;3.015;0;1;;;
111;B;46,19;4,95;51,14;NOR ORIENTE;39;14;2.837;0;1;;;
112;A;50,91;9,61;60,52;NOR PONIENTE;101;9;3.379;0;1;;;
113;C;29,84;7,63;37,47;PONIENTE;45;2;2.183;0;1;;;
114;A;50,91;9,61;60,52;PONIENTE;100;32;3.323;0;1;;;
115;B1;46,19;5,05;51,24;ORIENTE;38;15;2.781;0;1;;;
201;B1;46,37;5,05;51,42;ORIENTE;12;35;3.028;0;2;;;
202;A;50,91;9,61;60,52;NOR PONIENTE;69;39;3.433;0;2;;;
203;C;29,84;7,63;37,47;PONIENTE;30;59;2.237;0;2;;;
204;A;50,91;9,61;60,52;PONIENTE;68;38;3.377;0;2;;;
205;B1;46,19;5,05;51,24;ORIENTE;13;25;3.028;0;2;;;
211;B;46,37;5,05;51,42;NOR ORIENTE;105;20;2.850;0;2;;;
212;A;50,91;9,61;60,52;NOR PONIENTE;99;21;3.392;0;2;;;
213;C;29,84;7,63;37,47;PONIENTE;44;13;2.196;0;2;;;
214;A;50,91;9,61;60,52;PONIENTE;98;22;3.336;0;2;;;
215;B1;46,19;5,05;51,24;ORIENTE;104;40;2.794;0;2;;;
301;B1;46,37;5,05;51,42;ORIENTE;14;24;3.041;0;3;;;
302;A;50,91;9,61;60,52;NOR PONIENTE;29;56;3.446;0;3;;;
303;C;29,84;7,63;37,47;PONIENTE;28;1;2.237;0;3;;;
304;A;50,91;9,61;60,52;PONIENTE;27;33;3.390;0;3;;;
305;B1;46,19;5,05;51,24;ORIENTE;15;34;3.041;0;3;;;
311;B;46,37;5,05;51,42;NOR ORIENTE;103;5;2.864;0;3;;;
312;A;50,91;9,61;60,52;NOR PONIENTE;72;4;3.406;0;3;;;
313;C;29,84;7,63;37,47;PONIENTE;128;46;2.210;0;3;;;
314;A;50,91;9,61;60,52;PONIENTE;73;7;3.349;0;3;;;
315;B1;46,19;5,05;51,24;ORIENTE;102;55;2.808;0;3;;;
401;B1;46,37;5,05;51,42;ORIENTE;16;26;3.056;0;4;;;
402;A;50,91;9,61;60,52;NOR PONIENTE;26;60;3.461;0;4;;;
403;C;29,84;7,63;37,47;PONIENTE;25;57;2.251;0;4;;;
404;A;50,91;9,61;60,52;PONIENTE;24;54;3.405;0;4;;;
405;B1;46,19;5,05;51,24;ORIENTE;17;48;3.056;0;4;;;
411;B;46,37;5,05;51,42;NOR ORIENTE;37;17;2.878;0;4;;;
412;A;50,91;9,61;60,52;NOR PONIENTE;74;30;3.420;0;4;;;
413;C;29,84;7,63;37,47;PONIENTE;129;45;2.223;0;4;;;
414;A;50,91;9,61;60,52;PONIENTE;75;53;3.364;0;4;;;
415;B1;46,19;5,05;51,24;ORIENTE;36;41;2.821;0;4;;;
501;B1;46,37;5,05;51,42;ORIENTE;18;12;3.069;0;5;;;
502;A;50,91;9,61;60,52;NOR PONIENTE;51;52;3.474;0;5;;;
503;C;29,84;7,63;37,47;PONIENTE;23;3;2.251;0;5;;;
504;A;50,91;9,61;60,52;PONIENTE;50;6;3.418;0;5;;;
505;B1;46,19;5,05;51,24;ORIENTE;19;51;3.069;0;5;;;
511;B;46,37;5,05;51,42;NOR ORIENTE;35;31;2.891;0;5;;;
512;A;50,91;9,61;60,52;NOR PONIENTE;43;8;3.433;0;5;;;
513;C;29,84;7,63;37,47;PONIENTE;130;44;2.236;0;5;;;
514;A;50,91;9,61;60,52;PONIENTE;42;29;3.377;0;5;;;
515;B1;46,19;5,05;51,24;ORIENTE;34;19;2.835;0;5;;;
601;B1;46,37;5,05;51,42;ORIENTE;20;50;3.082;0;6;;;
602;A;50,91;9,61;60,52;NOR PONIENTE;49;37;3.487;0;6;;;
603;C;29,84;7,63;37,47;PONIENTE;22;47;2.264;0;6;;;
604;A;50,91;9,61;60,52;PONIENTE;48;28;3.431;0;6;;;
605;B1;46,19;5,05;51,24;ORIENTE;21;49;3.082;0;6;;;
611;B;46,37;5,05;51,42;NOR ORIENTE;33;42;2.904;0;6;;;
612;A;50,91;9,61;60,52;NOR PONIENTE;41;23;3.446;0;6;;;
613;C;29,84;7,63;37,47;PONIENTE;131;16;2.251;0;6;;;
614;A;50,91;9,61;60,52;PONIENTE;40;27;3.390;0;6;;;
615;B1;46,19;5,05;51,24;ORIENTE;32;43;2.848;0;6;;;
