DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
101;B1;46.19;4.95;51.14;ORIENTE;10;18;3015;0;1;;;
102;A;50.91;9.61;60.52;NOR PONIENTE;71;11;3379;0;1;;;
103;C;29.84;7.63;37.47;PONIENTE;45;58;2183;0;1;;;
104;A;50.91;9.61;60.52;PONIENTE;70;10;3323;0;1;;;
105;B1;46.19;5.05;51.24;ORIENTE;11;36;3015;0;1;;;
106;B;46.19;4.95;51.14;NOR ORIENTE;33;78;2837;0;1;;;
107;A;50.91;9.61;60.52;NOR PONIENTE;65;88;3379;0;1;;;
108;C;29.84;7.63;37.47;PONIENTE;44;118;2183;0;1;;;
109;A;50.91;9.61;60.52;PONIENTE;64;71;3323;0;1;;;
110;B1;46.19;5.05;51.24;ORIENTE;32;75;2781;0;1;;;
111;B;46.19;4.95;51.14;NOR ORIENTE;107;14;2837;0;1;;;
112;A;50.91;9.61;60.52;NOR PONIENTE;101;9;3379;0;1;;;
113;C;29.84;7.63;37.47;PONIENTE;126;2;2183;0;1;;;
114;A;50.91;9.61;60.52;PONIENTE;100;32;3323;0;1;;;
115;B1;46.19;5.05;51.24;ORIENTE;106;15;2781;0;1;;;
116;B;46.19;4.95;51.14;NOR ORIENTE;109;96;2837;0;1;;;
117;A;50.91;9.61;60.52;NOR PONIENTE;80;87;3379;0;1;;;
118;C;29.84;7.63;37.47;PONIENTE;125;62;2183;0;1;;;
119;A;50.91;9.61;60.52;PONIENTE;81;70;3323;0;1;;;
120;B1;46.19;5.05;51.24;ORIENTE;110;74;2781;0;1;;;
201;B1;46.37;5.05;51.42;ORIENTE;12;35;3028;0;2;;;
202;A;50.91;9.61;60.52;NOR PONIENTE;69;39;3392;0;2;;;
203;C;29.84;7.63;37.47;PONIENTE;43;59;2196;0;2;;;
204;A;50.91;9.61;60.52;PONIENTE;68;38;3336;0;2;;;
205;B1;46.19;5.05;51.24;ORIENTE;13;25;3028;0;2;;;
206;B;46.37;5.05;51.42;NOR ORIENTE;31;95;2850;0;2;;;
207;A;50.91;9.61;60.52;NOR PONIENTE;63;99;3392;0;2;;;
208;C;29.84;7.63;37.47;PONIENTE;42;119;2196;0;2;;;
209;A;50.91;9.61;60.52;PONIENTE;62;69;3336;0;2;;;
210;B1;46.19;5.05;51.24;ORIENTE;30;100;2794;0;2;;;
211;B;46.37;5.05;51.42;NOR ORIENTE;105;20;2850;0;2;;;
212;A;50.91;9.61;60.52;NOR PONIENTE;99;21;3392;0;2;;;
213;C;29.84;7.63;37.47;PONIENTE;127;13;2196;0;2;;;
214;A;50.91;9.61;60.52;PONIENTE;98;22;3336;0;2;;;
215;B1;46.19;5.05;51.24;ORIENTE;104;40;2794;0;2;;;
216;B;46.37;5.05;51.42;NOR ORIENTE;111;85;2850;0;2;;;
217;A;50.91;9.61;60.52;NOR PONIENTE;91;81;3392;0;2;;;
218;C;29.84;7.63;37.47;PONIENTE;124;61;2196;0;2;;;
219;A;50.91;9.61;60.52;PONIENTE;82;92;3336;0;2;;;
220;B1;46.19;5.05;51.24;ORIENTE;112;80;2794;0;2;;;
301;B1;46.37;5.05;51.42;ORIENTE;14;24;3041;0;3;;;
302;A;50.91;9.61;60.52;NOR PONIENTE;67;56;3406;0;3;;;
303;C;29.84;7.63;37.47;PONIENTE;41;1;2196;0;3;;;
304;A;50.91;9.61;60.52;PONIENTE;66;33;3349;0;3;;;
305;B1;46.19;5.05;51.24;ORIENTE;15;34;3041;0;3;;;
306;B;46.37;5.05;51.42;NOR ORIENTE;29;84;2864;0;3;;;
307;A;50.91;9.61;60.52;NOR PONIENTE;61;116;3406;0;3;;;
308;C;29.84;7.63;37.47;PONIENTE;40;117;2210;0;3;;;
309;A;50.91;9.61;60.52;PONIENTE;60;98;3349;0;3;;;
310;B1;46.19;5.05;51.24;ORIENTE;28;115;2808;0;3;;;
311;B;46.37;5.05;51.42;NOR ORIENTE;103;5;2864;0;3;;;
312;A;50.91;9.61;60.52;NOR PONIENTE;72;4;3406;0;3;;;
313;C;29.84;7.63;37.47;PONIENTE;128;46;2210;0;3;;;
314;A;50.91;9.61;60.52;PONIENTE;73;7;3349;0;3;;;
315;B1;46.19;5.05;51.24;ORIENTE;102;55;2808;0;3;;;
316;B;46.37;5.05;51.42;NOR ORIENTE;120;94;2864;0;3;;;
317;A;50.91;9.61;60.52;NOR PONIENTE;90;64;3406;0;3;;;
318;C;29.84;7.63;37.47;PONIENTE;123;63;2210;0;3;;;
319;A;50.91;9.61;60.52;PONIENTE;83;82;3349;0;3;;;
320;B1;46.19;5.05;51.24;ORIENTE;119;65;2808;0;3;;;
401;B1;46.37;5.05;51.42;ORIENTE;16;26;3056;0;4;;;
402;A;50.91;9.61;60.52;NOR PONIENTE;53;60;3420;0;4;;;
403;C;29.84;7.63;37.47;PONIENTE;39;57;2210;0;4;;;
404;A;50.91;9.61;60.52;PONIENTE;52;54;3364;0;4;;;
405;B1;46.19;5.05;51.24;ORIENTE;17;48;3056;0;4;;;
406;B;46.37;5.05;51.42;NOR ORIENTE;27;86;2878;0;4;;;
407;A;50.91;9.61;60.52;NOR PONIENTE;54;120;3420;0;4;;;
408;C;29.84;7.63;37.47;PONIENTE;38;107;2223;0;4;;;
409;A;50.91;9.61;60.52;PONIENTE;55;93;3364;0;4;;;
410;B1;46.19;5.05;51.24;ORIENTE;26;101;2821;0;4;;;
411;B;46.37;5.05;51.42;NOR ORIENTE;92;17;2878;0;4;;;
412;A;50.91;9.61;60.52;NOR PONIENTE;74;30;3420;0;4;;;
413;C;29.84;7.63;37.47;PONIENTE;129;45;2223;0;4;;;
414;A;50.91;9.61;60.52;PONIENTE;75;53;3364;0;4;;;
415;B1;46.19;5.05;51.24;ORIENTE;93;41;2821;0;4;;;
416;B;46.37;5.05;51.42;NOR ORIENTE;118;108;2878;0;4;;;
417;A;50.91;9.61;60.52;NOR PONIENTE;89;90;3420;0;4;;;
418;C;29.84;7.63;37.47;PONIENTE;122;73;2223;0;4;;;
419;A;50.91;9.61;60.52;PONIENTE;84;67;3364;0;4;;;
420;B1;46.19;5.05;51.24;ORIENTE;117;79;2821;0;4;;;
501;B1;46.37;5.05;51.42;ORIENTE;18;12;3069;0;5;;;
502;A;50.91;9.61;60.52;NOR PONIENTE;51;52;3433;0;5;;;
503;C;29.84;7.63;37.47;PONIENTE;37;3;2210;0;5;;;
504;A;50.91;9.61;60.52;PONIENTE;50;6;3377;0;5;;;
505;B1;46.19;5.05;51.24;ORIENTE;19;51;3069;0;5;;;
506;B;46.37;5.05;51.42;NOR ORIENTE;25;72;2891;0;5;;;
507;A;50.91;9.61;60.52;NOR PONIENTE;56;112;3433;0;5;;;
508;C;29.84;7.63;37.47;PONIENTE;36;106;2236;0;5;;;
509;A;50.91;9.61;60.52;PONIENTE;57;114;3377;0;5;;;
510;B1;46.19;5.05;51.24;ORIENTE;24;103;2835;0;5;;;
511;B;46.37;5.05;51.42;NOR ORIENTE;94;31;2891;0;5;;;
512;A;50.91;9.61;60.52;NOR PONIENTE;76;8;3433;0;5;;;
513;C;29.84;7.63;37.47;PONIENTE;130;44;2236;0;5;;;
514;A;50.91;9.61;60.52;PONIENTE;77;29;3377;0;5;;;
515;B1;46.19;5.05;51.24;ORIENTE;95;19;2835;0;5;;;
516;B;46.37;5.05;51.42;NOR ORIENTE;113;111;2891;0;5;;;
517;A;50.91;9.61;60.52;NOR PONIENTE;88;68;3433;0;5;;;
518;C;29.84;7.63;37.47;PONIENTE;121;105;2236;0;5;;;
519;A;50.91;9.61;60.52;PONIENTE;87;113;3377;0;5;;;
520;B1;46.19;5.05;51.24;ORIENTE;114;77;2835;0;5;;;
601;B1;46.37;5.05;51.42;ORIENTE;20;50;3082;0;6;;;
602;A;50.91;9.61;60.52;NOR PONIENTE;49;37;3446;0;6;;;
603;C;29.84;7.63;37.47;PONIENTE;35;47;2223;0;6;;;
604;A;50.91;9.61;60.52;PONIENTE;48;28;3390;0;6;;;
605;B1;46.19;5.05;51.24;ORIENTE;21;49;3082;0;6;;;
606;B;46.37;5.05;51.42;NOR ORIENTE;23;110;2904;0;6;;;
607;A;50.91;9.61;60.52;NOR PONIENTE;58;97;3446;0;6;;;
608;C;29.84;7.63;37.47;PONIENTE;34;104;2251;0;6;;;
609;A;50.91;9.61;60.52;PONIENTE;59;66;3390;0;6;;;
610;B1;46.19;5.05;51.24;ORIENTE;22;91;2848;0;6;;;
611;B;46.37;5.05;51.42;NOR ORIENTE;96;42;2904;0;6;;;
612;A;50.91;9.61;60.52;NOR PONIENTE;78;23;3446;0;6;;;
613;C;29.84;7.63;37.47;PONIENTE;131;16;2251;0;6;;;
614;A;50.91;9.61;60.52;PONIENTE;79;27;3390;0;6;;;
