DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
106;B;46,19;4,95;51,14;NOR ORIENTE;79;78;2837;0;1;;;
107;A;50,91;9,61;60,52;NOR PONIENTE;65;88;3420;0;1;;;
108;C;29,84;7,63;37,47;PONIENTE;97;118;2224;0;1;;;
109;A;50,91;9,61;60,52;PONIENTE;64;71;3364;0;1;;;
110;B1;46,19;5,05;51,24;ORIENTE;80;75;2781;0;1;;;
116;B;46,19;4,95;51,14;NOR ORIENTE;109;96;2837;0;1;;;
117;A;50,91;9,61;60,52;NOR PONIENTE;127;87;3379;0;1;;;
118;C;29,84;7,63;37,47;PONIENTE;125;62;2183;0;1;;;
119;A;50,91;9,61;60,52;PONIENTE;126;70;3323;0;1;;;
120;B1;46,19;5,05;51,24;ORIENTE;110;74;2781;0;1;;;
206;B;46,37;5,05;51,42;NOR ORIENTE;81;95;2850;0;2;;;
207;A;50,91;9,61;60,52;NOR PONIENTE;63;99;3433;0;2;;;
208;C;29,84;7,63;37,47;PONIENTE;96;119;2237;0;2;;;
209;A;50,91;9,61;60,52;PONIENTE;62;69;3377;0;2;;;
210;B1;46,19;5,05;51,24;ORIENTE;82;100;2794;0;2;;;
216;B;46,37;5,05;51,42;NOR ORIENTE;111;85;2850;0;2;;;
217;A;50,91;9,61;60,52;NOR PONIENTE;91;81;3392;0;2;;;
218;C;29,84;7,63;37,47;PONIENTE;124;61;2196;0;2;;;
219;A;50,91;9,61;60,52;PONIENTE;106;92;3336;0;2;;;
220;B1;46,19;5,05;51,24;ORIENTE;112;80;2794;0;2;;;
306;B;46,37;5,05;51,42;NOR ORIENTE;83;84;2864;0;3;;;
307;A;50,91;9,61;60,52;NOR PONIENTE;61;116;3446;0;3;;;
308;C;29,84;7,63;37,47;PONIENTE;95;117;2251;0;3;;;
309;A;50,91;9,61;60,52;PONIENTE;60;98;3390;0;3;;;
310;B1;46,19;5,05;51,24;ORIENTE;84;115;2808;0;3;;;
316;B;46,37;5,05;51,42;NOR ORIENTE;120;94;2864;0;3;;;
317;A;50,91;9,61;60,52;NOR PONIENTE;90;64;3406;0;3;;;
318;C;29,84;7,63;37,47;PONIENTE;123;63;2210;0;3;;;
319;A;50,91;9,61;60,52;PONIENTE;107;82;3349;0;3;;;
320;B1;46,19;5,05;51,24;ORIENTE;119;65;2808;0;3;;;
406;B;46,37;5,05;51,42;NOR ORIENTE;85;86;2878;0;4;;;
407;A;50,91;9,61;60,52;NOR PONIENTE;54;120;3461;0;4;;;
408;C;29,84;7,63;37,47;PONIENTE;76;107;2264;0;4;;;
409;A;50,91;9,61;60,52;PONIENTE;55;93;3405;0;4;;;
410;B1;46,19;5,05;51,24;ORIENTE;86;101;2821;0;4;;;
416;B;46,37;5,05;51,42;NOR ORIENTE;118;108;2878;0;4;;;
417;A;50,91;9,61;60,52;NOR PONIENTE;89;90;3420;0;4;;;
418;C;29,84;7,63;37,47;PONIENTE;122;73;2223;0;4;;;
419;A;50,91;9,61;60,52;PONIENTE;94;67;3364;0;4;;;
420;B1;46,19;5,05;51,24;ORIENTE;117;79;2821;0;4;;;
506;B;46,37;5,05;51,42;NOR ORIENTE;67;72;2891;0;5;;;
507;A;50,91;9,61;60,52;NOR PONIENTE;56;112;3474;0;5;;;
508;C;29,84;7,63;37,47;PONIENTE;77;106;2277;0;5;;;
509;A;50,91;9,61;60,52;PONIENTE;57;114;3418;0;5;;;
510;B1;46,19;5,05;51,24;ORIENTE;66;103;2835;0;5;;;
516;B;46,37;5,05;51,42;NOR ORIENTE;113;111;2891;0;5;;;
517;A;50,91;9,61;60,52;NOR PONIENTE;88;68;3433;0;5;;;
518;C;29,84;7,63;37,47;PONIENTE;121;105;2236;0;5;;;
519;A;50,91;9,61;60,52;PONIENTE;87;113;3377;0;5;;;
520;B1;46,19;5,05;51,24;ORIENTE;114;77;2835;0;5;;;
606;B;46,37;5,05;51,42;NOR ORIENTE;52;110;2904;0;6;;;
607;A;50,91;9,61;60,52;NOR PONIENTE;58;97;3487;0;6;;;
608;C;29,84;7,63;37,47;PONIENTE;78;104;2292;0;6;;;
609;A;50,91;9,61;60,52;PONIENTE;59;66;3431;0;6;;;
610;B1;46,19;5,05;51,24;ORIENTE;53;91;2848;0;6;;;
616;B;46,37;5,05;51,42;NOR ORIENTE;115;109;2904;0;6;;;
617;A;50,91;9,61;60,52;NOR PONIENTE;93;83;3446;0;6;;;
618;C;29,84;7,63;37,47;PONIENTE;108;76;2251;0;6;;;
619;A;50,91;9,61;60,52;PONIENTE;92;89;3390;0;6;;;
620;B1;46,19;5,05;51,24;ORIENTE;116;102;2848;0;6;;;
