DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
101;A;50.43;4.38;54.81;Norte;5;8;2.608;0;1;1,0038;04532-00406;04532-00505
102;A;50.34;4.38;54.72;Norte;82;9;2.608;0;1;1,002;04532-00407;04532-00506
201;A;50.64;4.38;55.02;Sur ;51;10;2.566;0;2;1,0111;04532-00408;04532-00507
202;A;50.34;4.38;54.72;Sur ;50;30;2.566;0;2;1,0043;04532-00409;04532-00527
205;A;50.43;4.49;54.92;Norte;47;32;2.609;0;2;1,0055;04532-00412;04532-00529
206;A;50.43;4.38;54.81;Norte;48;12;2.608;0;2;1,0068;04532-00413;04532-00509
207;A;50.34;4.38;54.72;Norte;49;13;2.608;0;2;1,0048;04532-00414;04532-00510
210;A;50.89;4.49;55.38;Sur ;52;14;2.566;0;2;1,0144;04532-00417;04532-00511
203;B;59.59;5.04;64.63;Oriente;53;17;3.364;0;2;1,203;04532-00410;04532-00514
204;B;58.66;5.04;63.7;Norte;46;73;3.323;0;2;1,1842;04532-00411;04532-00570
208;B;59.59;5.04;64.63;Poniente;54;37;3.406;0;2;1,2078;04532-00415;04532-00534
209;B;58.66;5.04;63.7;Sur ;24;59;3.281;0;2;1,1804;04532-00416;04532-00556
301;A;50.64;4.38;55.02;Sur ;100;89;2.576;0;3;1,0217;04532-00418;04532-00586
302;A;50.34;4.38;54.72;Sur ;97;90;2.576;0;3;1,0045;04532-00419;04532-00587
305;A;50.43;4.49;54.92;Norte;57;91;2.619;0;3;1,0109;04532-00422;04532-00588
306;A;50.43;4.38;54.81;Norte;56;31;2.619;0;3;1,0069;04532-00423;04532-00528
307;A;50.34;4.38;54.72;Norte;55;52;2.619;0;3;1,0064;04532-00424;04532-00549
310;A;50.89;4.49;55.38;Sur ;42;53;2.576;0;3;1,0201;04532-00427;04532-00550
303;B;59.59;5.04;64.63;Oriente;45;34;3.375;0;3;1,203;04532-00420;04532-00531
304;B;58.66;5.04;63.7;Norte;58;27;3.334;0;3;1,1799;04532-00421;04532-00524
308;B;59.59;5.04;64.63;Poniente;44;85;3.316;0;3;1,2042;04532-00425;04532-00582
309;B;58.66;5.04;63.7;Sur ;43;1;3.292;0;3;1,1825;04532-00426;04532-00498
401;A;50.64;4.38;55.02;Sur ;40;11;2.586;0;4;1,0221;04532-00428;04532-00508
402;A;50.34;4.38;54.72;Sur ;39;43;2.586;0;4;1,0104;04532-00429;04532-00540
405;A;50.43;4.49;54.92;Norte;62;33;2.629;0;4;1,0135;04532-00432;04532-00530
406;A;50.43;4.38;54.81;Norte;61;92;2.629;0;4;1,0091;04532-00433;04532-00589
407;A;50.34;4.38;54.72;Norte;60;93;2.629;0;4;1,0071;04532-00434;04532-00590
410;A;50.89;4.49;55.38;Sur ;41;15;2.586;0;4;1,0205;04532-00437;04532-00512
403;B;59.59;5.04;64.63;Oriente;98;2;3.385;0;4;1,2041;04532-00430;04532-00499
404;B;58.66;5.04;63.7;Norte;63;38;3.344;0;4;1,1807;04532-00431;04532-00535
408;B;59.59;5.04;64.63;Poniente;99;42;3.326;0;4;1,2043;04532-00435;04532-00539
409;B;58.66;5.04;63.7;Sur ;59;50;3.302;0;4;1,1817;04532-00436;04532-00547
501;A;50.64;4.38;55.02;Sur ;35;75;2.597;0;5;1,0254;04532-00438;04532-00572
502;A;50.34;4.38;54.72;Sur ;34;76;2.597;0;5;1,0082;04532-00439;04532-00573
505;A;50.43;4.49;54.92;Norte;89;18;2.639;0;5;1,0151;04532-00442;04532-00515
506;A;50.43;4.38;54.81;Norte;66;19;2.639;0;5;1,0107;04532-00443;04532-00516
507;A;50.34;4.38;54.72;Norte;65;22;2.639;0;5;1,0089;04532-00444;04532-00519
510;A;50.89;4.49;55.38;Sur ;36;83;2.597;0;5;1,0228;04532-00447;04532-00580
503;B;59.59;5.04;64.63;Oriente;37;51;3.395;0;5;1,2044;04532-00440;04532-00548
504;B;58.66;5.04;63.7;Norte;88;61;3.354;0;5;1,1819;04532-00441;04532-00558
508;B;59.59;5.04;64.63;Poniente;64;41;3.337;0;5;1,2046;04532-00445;04532-00538
509;B;58.66;5.04;63.7;Sur ;38;74;3.213;0;5;1,1822;04532-00446;04532-00571
601;A;50.64;4.38;55.02;Sur ;30;79;2.607;0;6;1,0264;04532-00448;04532-00576
602;A;50.34;4.38;54.72;Sur ;29;23;2.607;0;6;1,0096;04532-00449;04532-00520
605;A;50.43;4.49;54.92;Norte;69;24;2.650;0;6;1,016;04532-00452;04532-00521
606;A;50.43;4.38;54.81;Norte;68;25;2.650;0;6;1,0116;04532-00453;04532-00522
607;A;50.34;4.38;54.72;Norte;67;77;2.650;0;6;1,0097;04532-00454;04532-00574
610;A;50.89;4.49;55.38;Sur ;31;20;2.607;0;6;1,0239;04532-00457;04532-00517
603;B;59.59;5.04;64.63;Oriente;87;48;3.406;0;6;1,2053;04532-00450;04532-00545
604;B;58.66;5.04;63.7;Norte;70;16;3.364;0;6;1,1821;04532-00451;04532-00513
608;B;59.59;5.04;64.63;Poniente;33;39;3.347;0;6;1,206;04532-00455;04532-00536
609;B;58.66;5.04;63.7;Sur ;32;49;3.223;0;6;1,1835;04532-00456;04532-00546
701;A;50.64;4.38;55.02;Sur ;21;80;2.618;0;7;1,0274;04532-00458;04532-00577
702;A;50.34;4.38;54.72;Sur ;14;81;2.618;0;7;1,0102;04532-00459;04532-00578
705;A;50.43;4.49;54.92;Norte;86;82;2.660;0;7;1,0166;04532-00462;04532-00579
706;A;50.43;4.38;54.81;Norte;72;26;2.660;0;7;1,013;04532-00463;04532-00523
707;A;50.34;4.38;54.72;Norte;71;63;2.660;0;7;1,0298;04532-00464;04532-00560
710;A;50.89;4.49;55.38;Sur ;22;45;2.618;0;7;1,0241;04532-00467;04532-00542
703;B;59.59;5.04;64.63;Oriente;27;60;3.416;0;7;1,2073;04532-00460;04532-00557
704;B;58.66;5.04;63.7;Norte;85;40;3.375;0;7;1,1829;04532-00461;04532-00537
708;B;59.59;5.04;64.63;Poniente;23;87;3.358;0;7;1,2065;04532-00465;04532-00584
709;B;58.66;5.04;63.7;Sur ;28;62;3.233;0;7;1,1864;04532-00466;04532-00559
801;A;50.64;4.38;55.02;Sur ;10;69;2.628;0;8;1,0277;04532-00468;04532-00566
802;A;50.34;4.38;54.72;Sur ;9;70;2.628;0;8;1,0105;04532-00469;04532-00567
805;A;50.43;4.49;54.92;Norte;84;68;2.670;0;8;1,018;04532-00472;04532-00565
806;A;50.43;4.38;54.81;Norte;74;46;2.670;0;8;1,0164;04532-00473;04532-00543
807;A;50.34;4.38;54.72;Norte;73;54;2.670;0;8;1,0162;04532-00474;04532-00551
810;A;50.89;4.49;55.38;Sur ;17;72;2.628;0;8;1,0302;04532-00477;04532-00569
803;B;59.59;5.04;64.63;Oriente;13;21;3.426;0;8;1,2084;04532-00470;04532-00518
804;B;58.66;5.04;63.7;Norte;83;78;3.385;0;8;1,1849;04532-00471;04532-00575
808;B;59.59;5.04;64.63;Poniente;26;86;3.368;0;8;1,215;04532-00475;04532-00583
809;B;58.66;5.04;63.7;Sur ;20;88;3.244;0;8;1,186;04532-00476;04532-00585
901;A;50.64;4.38;55.02;Sur ;7;6;2.638;0;9;1,0339;04532-00478;04532-00503
