Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;26.799,01;26.825,81;26.928,49;26.966,89;27.006,43;;;;;;;
2;26.799,87;26.826,67;26.933,29;26.966,89;27.008,23;;;;;;;
3;26.800,73;26.827,54;26.938,09;26.966,89;27.010,03;;;;;;;
4;26.801,60;26.828,40;26.942,89;26.966,89;27.011,83;;;;;;;
5;26.802,46;26.829,27;26.947,69;26.966,89;27.013,63;;;;;;;
6;26.803,33;26.830,13;26.952,49;26.966,89;27.015,43;;;;;;;
7;26.804,19;26.831,00;26.957,29;26.966,89;27.017,22;;;;;;;
8;26.805,05;26.831,86;26.962,09;26.966,89;27.019,02;;;;;;;
9;26.805,92;26.832,73;26.966,89;26.966,89;27.020,82;;;;;;;
10;26.806,78;26.837,51;26.966,89;26.968,69;;;;;;;;
11;26.807,65;26.842,29;26.966,89;26.970,48;;;;;;;;
12;26.808,51;26.847,07;26.966,89;26.972,28;;;;;;;;
13;26.809,38;26.851,86;26.966,89;26.974,07;;;;;;;;
14;26.810,24;26.856,64;26.966,89;26.975,87;;;;;;;;
15;26.811,11;26.861,42;26.966,89;26.977,67;;;;;;;;
16;26.811,97;26.866,21;26.966,89;26.979,46;;;;;;;;
17;26.812,84;26.870,99;26.966,89;26.981,26;;;;;;;;
18;26.813,70;26.875,78;26.966,89;26.983,06;;;;;;;;
19;26.814,56;26.880,57;26.966,89;26.984,86;;;;;;;;
20;26.815,43;26.885,36;26.966,89;26.986,65;;;;;;;;
21;26.816,29;26.890,15;26.966,89;26.988,45;;;;;;;;
22;26.817,16;26.894,94;26.966,89;26.990,25;;;;;;;;
23;26.818,02;26.899,73;26.966,89;26.992,05;;;;;;;;
24;26.818,89;26.904,52;26.966,89;26.993,84;;;;;;;;
25;26.819,75;26.909,31;26.966,89;26.995,64;;;;;;;;
26;26.820,62;26.914,11;26.966,89;26.997,44;;;;;;;;
27;26.821,48;26.918,90;26.966,89;26.999,24;;;;;;;;
28;26.822,35;26.923,70;26.966,89;27.001,04;;;;;;;;
29;26.823,21;;26.966,89;27.002,83;;;;;;;;
30;26.824,08;;26.966,89;27.004,63;;;;;;;;
31;26.824,94;;26.966,89;;;;;;;;;
